Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,imdbRating,imdbVotes,imdbID,Type,BoxOffice,Length,imdbInfo
The Descent,2005,R,4-Aug-06,99,"Adventure, Horror, Thriller",Neil Marshall,Neil Marshall,"Shauna Macdonald, Natalie Mendoza, Alex Reid","A caving expedition goes horribly wrong, as the explorers become trapped and ultimately pursued by a strange breed of predators.",English,United Kingdom,8 wins & 22 nominations,7.2,223116,tt0435625,movie,26024456,Short,"{'imdbRating': 7.2, 'imdbVotes': 223116, 'imdbID': 'tt0435625'}"
Doctor Sleep,2019,R,8-Nov-19,152,"Drama, Fantasy, Horror",Mike Flanagan,"Mike Flanagan, Stephen King","Ewan McGregor, Rebecca Ferguson, Kyliegh Curran","Years following the events of The Shining (1980), a now-adult Dan Torrance must protect a young girl with similar powers from a cult known as The True Knot, who prey on children with powers to remain immortal.","English, Persian",United States,9 wins & 37 nominations,7.3,189781,tt5606664,movie,31581712,Long,"{'imdbRating': 7.3, 'imdbVotes': 189781, 'imdbID': 'tt5606664'}"
The Orphanage,2007,R,11-Jan-08,105,"Drama, Horror, Mystery",J.A. Bayona,Sergio G. Sánchez,"Belén Rueda, Fernando Cayo, Roger Príncep","A woman brings her family back to her childhood home, which used to be an orphanage for handicapped children. Before long, her son starts to communicate with an invisible new friend.",Spanish,"Spain, Mexico",32 wins & 43 nominations,7.4,155981,tt0464141,movie,7161284,Short,"{'imdbRating': 7.4, 'imdbVotes': 155981, 'imdbID': 'tt0464141'}"
Bone Tomahawk,2015,Not Rated,19-Feb-16,132,"Drama, Horror, Western",S. Craig Zahler,S. Craig Zahler,"Kurt Russell, Patrick Wilson, Matthew Fox","In the dying days of the old west, an elderly sheriff and his posse set out to rescue their town's doctor from cannibalistic cave dwellers.",English,"United States, United Kingdom",9 wins & 20 nominations,7.1,101604,tt2494362,movie,0,Long,"{'imdbRating': 7.1, 'imdbVotes': 101604, 'imdbID': 'tt2494362'}"
28 Days Later...,2002,R,27-Jun-03,113,"Drama, Horror, Sci-Fi",Danny Boyle,Alex Garland,"Cillian Murphy, Naomie Harris, Christopher Eccleston","Four weeks after a mysterious, incurable virus spreads throughout the UK, a handful of survivors try to find sanctuary.","English, Spanish",United Kingdom,10 wins & 32 nominations,7.5,411990,tt0289043,movie,45064915,Short,"{'imdbRating': 7.5, 'imdbVotes': 411990, 'imdbID': 'tt0289043'}"
The Conjuring,2013,R,19-Jul-13,112,"Horror, Mystery, Thriller",James Wan,"Chad Hayes, Carey W. Hayes","Patrick Wilson, Vera Farmiga, Ron Livingston",Paranormal investigators Ed and Lorraine Warren work to help a family terrorized by a dark presence in their farmhouse.,"English, Latin",United States,15 wins & 22 nominations,7.5,502813,tt1457767,movie,137446368,Short,"{'imdbRating': 7.5, 'imdbVotes': 502813, 'imdbID': 'tt1457767'}"
Let Me In,2010,R,1-Oct-10,116,"Drama, Fantasy, Horror",Matt Reeves,"Matt Reeves, John Ajvide Lindqvist","Kodi Smit-McPhee, Chloë Grace Moretz, Richard Jenkins",A bullied young boy befriends a young female vampire who lives in secrecy with her guardian.,English,"United Kingdom, United States",14 wins & 28 nominations,7.1,121809,tt1228987,movie,12134935,Short,"{'imdbRating': 7.1, 'imdbVotes': 121809, 'imdbID': 'tt1228987'}"
The Devil's Backbone,2001,R,20-Apr-01,106,"Drama, Horror, Thriller",Guillermo del Toro,"Guillermo del Toro, Antonio Trashorras, David Muñoz","Marisa Paredes, Eduardo Noriega, Federico Luppi","After Carlos - a 12-year-old whose father has died in the Spanish Civil War - arrives at an ominous boys' orphanage, he discovers the school is haunted and has many dark secrets which he must uncover.",Spanish,"Spain, Mexico",6 wins & 11 nominations,7.4,66314,tt0256009,movie,755249,Short,"{'imdbRating': 7.4, 'imdbVotes': 66314, 'imdbID': 'tt0256009'}"
Dawn of the Dead,2004,R,19-Mar-04,101,"Action, Horror",Zack Snyder,"George A. Romero, James Gunn","Sarah Polley, Ving Rhames, Mekhi Phifer","A nurse, a policeman, a young married couple, a salesman and other survivors of a worldwide plague that is producing aggressive, flesh-eating zombies, take refuge in a mega Midwestern shopping mall.",English,"United States, Canada, Japan, France",1 win & 17 nominations,7.3,255097,tt0363547,movie,59020957,Short,"{'imdbRating': 7.3, 'imdbVotes': 255097, 'imdbID': 'tt0363547'}"
Shaun of the Dead,2004,R,24-Sep-04,99,"Comedy, Horror",Edgar Wright,"Simon Pegg, Edgar Wright","Simon Pegg, Nick Frost, Kate Ashfield","The uneventful, aimless lives of a London electronics salesman and his layabout roommate are disrupted by the zombie apocalypse.",English,"United Kingdom, France, United States",Nominated for 3 BAFTA 13 wins & 20 nominations total,7.9,555263,tt0365748,movie,13542874,Short,"{'imdbRating': 7.9, 'imdbVotes': 555263, 'imdbID': 'tt0365748'}"
Don't Breathe,2016,R,26-Aug-16,88,"Crime, Horror, Thriller",Fede Alvarez,"Fede Alvarez, Rodo Sayagues","Stephen Lang, Jane Levy, Dylan Minnette","Hoping to walk away with a massive fortune, a trio of thieves break into the house of a blind man who isn't as helpless as he seems.",English,"United States, Hungary",7 wins & 21 nominations,7.1,271998,tt4160708,movie,89217875,Short,"{'imdbRating': 7.1, 'imdbVotes': 271998, 'imdbID': 'tt4160708'}"
Zombieland,2009,R,2-Oct-09,88,"Action, Comedy, Horror",Ruben Fleischer,"Rhett Reese, Paul Wernick","Jesse Eisenberg, Emma Stone, Woody Harrelson","A shy student trying to reach his family in Ohio, a gun-toting bruiser in search of the last Twinkie and a pair of sisters striving to get to an amusement park join forces in a trek across a zombie-filled America.","English, Spanish, French",United States,10 wins & 29 nominations,7.6,572291,tt1156398,movie,75590286,Short,"{'imdbRating': 7.6, 'imdbVotes': 572291, 'imdbID': 'tt1156398'}"
The Host,2006,R,30-Mar-07,120,"Action, Drama, Horror",Bong Joon Ho,"Bong Joon Ho, Won-jun Ha, Chul-hyun Baek","Song Kang-ho, Byun Hee-Bong, Park Hae-il",A monster emerges from Seoul's Han River and begins attacking people. One victim's loving family does what it can to rescue her from its clutches.,"Korean, English",South Korea,29 wins & 35 nominations,7.1,121452,tt0468492,movie,2201923,Short,"{'imdbRating': 7.1, 'imdbVotes': 121452, 'imdbID': 'tt0468492'}"
Train to Busan,2016,Not Rated,20-Jul-16,118,"Action, Horror, Thriller",Sang-ho Yeon,"Joo-Suk Park, Sang-ho Yeon","Gong Yoo, Jung Yu-mi, Ma Dong-seok","While a zombie virus breaks out in South Korea, passengers struggle to survive on the train from Seoul to Busan.","Korean, Hawaiian, English",South Korea,35 wins & 39 nominations,7.6,217609,tt5700672,movie,2129768,Short,"{'imdbRating': 7.6, 'imdbVotes': 217609, 'imdbID': 'tt5700672'}"
